HU,Pagina,CP,Caso de Prueba Corregido,Accion/Entrada,Resultado Esperado Corregido,Tipo,Observaciones,Estado Automatizacion,Resultado
HU-001,Landing Page,HU01-CP-01,Pagina principal carga correctamente,Visitar /,Pagina sin errores,Automatico,OK,AUTOMATIZADO - OK,PASS
HU-001,Landing Page,HU01-CP-02,Banner principal visible,Cargar inicio,Banner con imagen /images/banner-home.png,Automatico,OK,AUTOMATIZADO - OK,PASS
HU-001,Landing Page,HU01-CP-03,Imagen banner no rota,Inspeccionar img,Imagen carga 200,Automatico,OK,AUTOMATIZADO - OK,PASS
HU-001,Landing Page,HU01-CP-04,Texto boton Inscribete ya,Observar boton HomeBanner,Texto exacto,Automatico,OK,AUTOMATIZADO - OK,PASS
HU-001,Landing Page,HU01-CP-05,Enlace boton Inscribete ya,Click en boton,Navega a /sedes,Automatico,OK,AUTOMATIZADO - OK,PASS
HU-001,Landing Page,HU01-CP-06,Accesibilidad teclado boton,Tab+Enter sobre boton,Enter navega a /sedes,Automatico,OK,AUTOMATIZADO - OK,PASS
HU-001,Landing Page,HU01-CP-07,Heading principal,Cargar inicio,Texto Encuentra tu mejor version,Automatico,OK,AUTOMATIZADO - OK,PASS
HU-001,Landing Page,HU01-CP-08,InfiniteScroll se renderiza,Cargar inicio,Componente InfiniteScroll visible,Automatico,OK,AUTOMATIZADO - OK,PASS
HU-001,Landing Page,HU01-CP-09,Pares ANTES/DESPUES,Inspeccionar tarjetas,Dos imagenes por tarjeta,Automatico,OK,AUTOMATIZADO - OK,PASS
HU-001,Landing Page,HU01-CP-10,Animacion infinita scroll,Observar 30s,Desplazamiento continuo,Manual,OK,MANUAL,
HU-001,Landing Page,HU01-CP-11,InfiniteScroll movil,Viewport < 768px,Adaptacion sin overflow,Automatico,OK,AUTOMATIZADO - OK,PASS
HU-001,Landing Page,HU01-CP-12,Carga imagenes faltantes,URL invalida en par,Imagen respaldo sin romper layout,Automatico,OK,AUTOMATIZADO - OK,PASS
HU-001,Landing Page,HU01-CP-13,Logo y enlaces header,Cargar pagina,Logo + Sedes + Membresias,Automatico,OK,AUTOMATIZADO - OK,PASS
HU-001,Landing Page,HU01-CP-14,Enlace Sedes en header,Click en Sedes,Navega a /sedes,Automatico,OK,AUTOMATIZADO - OK,PASS
HU-001,Landing Page,HU01-CP-15,Enlace Membresias en header,Click en Membresias,Navega a /membresias,Automatico,OK,AUTOMATIZADO - OK,PASS
HU-001,Landing Page,HU01-CP-16,Botones auth sin sesion,Cargar sin sesion,Iniciar Sesion + Registrarse,Automatico,OK,AUTOMATIZADO - OK,PASS
HU-001,Landing Page,HU01-CP-17,Usuario con sesion,Iniciar sesion,Nombre usuario + Salir,Automatico,Requiere sesion,AUTOMATIZADO - OMITIDO,SKIP (Supabase no disponible)
HU-001,Landing Page,HU01-CP-18,Boton Salir,Click en Salir,Cierra sesion,Automatico,Requiere sesion,AUTOMATIZADO - OMITIDO,SKIP (Supabase no disponible)
HU-001,Landing Page,HU01-CP-19,Menu hamburguesa movil,Viewport < lg,Icono hamburguesa visible,Automatico,OK,AUTOMATIZADO - OK,PASS
HU-001,Landing Page,HU01-CP-20,Menu hamburguesa desktop,Viewport >= lg,Menu horizontal completo,Automatico,OK,AUTOMATIZADO - OK,PASS
